image_index,turns,task_type,instructions,format_instructions,bg_consistency,unchanged_objects,available_objects,all_objects
315,2,"['text_change', 'color_alter']","[""Add text 'BEACH' on the image"", 'Change the color of plastic gold phone to blue']","[""Add text '[BEACH]' on the image"", 'Change the color of [plastic gold phone] to [blue]']",True,"['wool white scarf', 'wool white hat', 'fabric green jacket', 'fabric pink bag']","['wool white scarf', 'wool white hat', 'fabric green jacket', 'fabric pink bag', 'plastic blue phone']","['wool white scarf', 'wool white hat', 'fabric green jacket', 'plastic gold phone', 'fabric pink bag', 'text', 'plastic blue phone']"
315,3,"['text_change', 'color_alter', 'subject_add']","[""Add text 'BEACH' on the image"", 'Change the color of plastic gold phone to blue', 'Add water bottle on the right of fabric pink bag']","[""Add text '[BEACH]' on the image"", 'Change the color of [plastic gold phone] to [blue]', 'Add [water bottle] on the [right] of [fabric pink bag]']",True,"['wool white scarf', 'wool white hat', 'fabric green jacket', 'fabric pink bag']","['wool white scarf', 'wool white hat', 'fabric green jacket', 'fabric pink bag', 'plastic blue phone', 'water bottle']","['wool white scarf', 'wool white hat', 'fabric green jacket', 'plastic gold phone', 'fabric pink bag', 'text', 'plastic blue phone', 'water bottle']"
316,1,['text_change'],"[""Add text 'BEACH' on the image""]","[""Add text '[BEACH]' on the image""]",True,"['cotton black shirt', 'denim blue jeans', 'rubber black flip-flops', 'wooden light brown log']","['cotton black shirt', 'denim blue jeans', 'rubber black flip-flops', 'wooden light brown log']","['cotton black shirt', 'denim blue jeans', 'rubber black flip-flops', 'wooden light brown log', 'text']"
316,2,"['text_change', 'subject_remove']","[""Add text 'BEACH' on the image"", 'Remove denim blue jeans']","[""Add text '[BEACH]' on the image"", 'Remove [denim blue jeans]']",True,"['cotton black shirt', 'rubber black flip-flops', 'wooden light brown log']","['cotton black shirt', 'rubber black flip-flops', 'wooden light brown log']","['cotton black shirt', 'denim blue jeans', 'rubber black flip-flops', 'wooden light brown log', 'text']"
316,3,"['text_change', 'subject_remove', 'count_change']","[""Add text 'BEACH' on the image"", 'Remove denim blue jeans', '""Change the count of wooden light brown log to 3""']","[""Add text '[BEACH]' on the image"", 'Remove [denim blue jeans]', '""Change the count of [wooden light brown log] to [3]""']",True,"['cotton black shirt', 'rubber black flip-flops']","['cotton black shirt', 'rubber black flip-flops', 'wooden light brown log']","['cotton black shirt', 'denim blue jeans', 'rubber black flip-flops', 'wooden light brown log', 'text']"
317,1,['text_change'],"[""Add text 'LOVE' on the image""]","[""Add text '[LOVE]' on the image""]",True,"['cotton blue shirt', 'gold ring', 'metal gold watch', 'fabric patterned dress']","['cotton blue shirt', 'gold ring', 'metal gold watch', 'fabric patterned dress']","['cotton blue shirt', 'gold ring', 'metal gold watch', 'fabric patterned dress', 'text']"
317,2,"['text_change', 'position_change']","[""Add text 'LOVE' on the image"", 'Change the position of metal gold watch to below of gold ring.']","[""Add text '[LOVE]' on the image"", 'Change the position of [metal gold watch] to [below] of [gold ring].']",True,"['cotton blue shirt', 'fabric patterned dress']","['cotton blue shirt', 'gold ring', 'metal gold watch', 'fabric patterned dress']","['cotton blue shirt', 'gold ring', 'metal gold watch', 'fabric patterned dress', 'text']"
317,3,"['text_change', 'position_change', 'subject_remove']","[""Add text 'LOVE' on the image"", 'Change the position of metal gold watch to below of gold ring.', 'Remove gold ring']","[""Add text '[LOVE]' on the image"", 'Change the position of [metal gold watch] to [below] of [gold ring].', 'Remove [gold ring]']",True,"['cotton blue shirt', 'fabric patterned dress']","['cotton blue shirt', 'metal gold watch', 'fabric patterned dress']","['cotton blue shirt', 'gold ring', 'metal gold watch', 'fabric patterned dress', 'text']"
318,1,['subject_add'],['Add volcano on the below of smoke plume'],['Add [volcano] on the [below] of [smoke plume]'],True,"['plush white cat toy', 'fabric pink bow', 'fabric multicolor dress', 'fabric pink sock', 'volcano', 'smoke plume', 'wooden platform']","['plush white cat toy', 'fabric pink bow', 'fabric multicolor dress', 'fabric pink sock', 'volcano', 'smoke plume', 'wooden platform']","['plush white cat toy', 'fabric pink bow', 'fabric multicolor dress', 'fabric pink sock', 'volcano', 'smoke plume', 'wooden platform']"
318,2,"['subject_add', 'count_change']","['Add volcano on the below of smoke plume', '""Change the count of plush white cat toy to 3""']","['Add [volcano] on the [below] of [smoke plume]', '""Change the count of [plush white cat toy] to [3]""']",True,"['fabric pink bow', 'fabric multicolor dress', 'fabric pink sock', 'volcano', 'smoke plume', 'wooden platform']","['plush white cat toy', 'fabric pink bow', 'fabric multicolor dress', 'fabric pink sock', 'volcano', 'smoke plume', 'wooden platform']","['plush white cat toy', 'fabric pink bow', 'fabric multicolor dress', 'fabric pink sock', 'volcano', 'smoke plume', 'wooden platform']"
318,3,"['subject_add', 'count_change', 'position_change']","['Add volcano on the below of smoke plume', '""Change the count of plush white cat toy to 3""', '""Change the position of plush white cat toy to below of wooden platform""']","['Add [volcano] on the [below] of [smoke plume]', '""Change the count of [plush white cat toy] to [3]""', '""Change the position of [plush white cat toy] to [below] of [wooden platform]""']",True,"['fabric pink bow', 'fabric multicolor dress', 'fabric pink sock', 'volcano', 'smoke plume']","['plush white cat toy', 'fabric pink bow', 'fabric multicolor dress', 'fabric pink sock', 'volcano', 'smoke plume', 'wooden platform']","['plush white cat toy', 'fabric pink bow', 'fabric multicolor dress', 'fabric pink sock', 'volcano', 'smoke plume', 'wooden platform']"
319,1,['color_alter'],['Change the color of cotton blue jacket to orange'],['Change the color of [cotton blue jacket] to [orange]'],True,['metal earring'],"['metal earring', 'cotton orange jacket']","['cotton blue jacket', 'metal earring', 'cotton orange jacket']"
319,2,"['color_alter', 'subject_remove']","['Change the color of cotton blue jacket to orange', 'Remove cotton orange jacket']","['Change the color of [cotton blue jacket] to [orange]', 'Remove [cotton orange jacket]']",True,['metal earring'],['metal earring'],"['cotton blue jacket', 'metal earring', 'cotton orange jacket']"
319,3,"['color_alter', 'subject_remove', 'subject_add']","['Change the color of cotton blue jacket to orange', 'Remove cotton orange jacket', 'Add necklace on the left of metal earring']","['Change the color of [cotton blue jacket] to [orange]', 'Remove [cotton orange jacket]', 'Add [necklace] on the [left] of [metal earring]']",True,['metal earring'],"['metal earring', 'necklace']","['cotton blue jacket', 'metal earring', 'cotton orange jacket', 'necklace']"
321,1,['subject_add'],['Add moon on the above of metal and glass black lantern'],['Add [moon] on the [above] of [metal and glass black lantern]'],True,"['metal and glass black lantern', 'stone orange and gray rock', 'grass green patch']","['metal and glass black lantern', 'stone orange and gray rock', 'grass green patch', 'moon']","['metal and glass black lantern', 'stone orange and gray rock', 'grass green patch', 'moon']"
321,2,"['subject_add', 'position_change']","['Add moon on the above of metal and glass black lantern', '""Change the position of metal and glass black lantern to above of stone orange and gray rock""']","['Add [moon] on the [above] of [metal and glass black lantern]', '""Change the position of [metal and glass black lantern] to [above] of [stone orange and gray rock]""']",True,['grass green patch'],"['metal and glass black lantern', 'stone orange and gray rock', 'grass green patch', 'moon']","['metal and glass black lantern', 'stone orange and gray rock', 'grass green patch', 'moon']"
321,3,"['subject_add', 'position_change', 'subject_remove']","['Add moon on the above of metal and glass black lantern', '""Change the position of metal and glass black lantern to above of stone orange and gray rock""', 'Remove grass green patch']","['Add [moon] on the [above] of [metal and glass black lantern]', '""Change the position of [metal and glass black lantern] to [above] of [stone orange and gray rock]""', 'Remove [grass green patch]']",True,[],"['metal and glass black lantern', 'stone orange and gray rock', 'moon']","['metal and glass black lantern', 'stone orange and gray rock', 'grass green patch', 'moon']"
322,1,['subject_remove'],['Remove black hat'],['Remove [black hat]'],True,[],[],['black hat']
322,2,"['subject_remove', 'subject_add']","['Remove black hat', 'Add cane']","['Remove [black hat]', 'Add [cane]']",True,[],['cane'],"['black hat', 'cane']"
322,3,"['subject_remove', 'subject_add', 'subject_add']","['Remove black hat', 'Add cane', 'Add top hat on the left of cane']","['Remove [black hat]', 'Add [cane]', 'Add [top hat] on the [left] of [cane]']",True,[],"['cane', 'top hat']","['black hat', 'cane', 'top hat']"
323,1,['color_alter'],['Change the color of rubber blue-white inflatable ring to yellow'],['Change the color of [rubber blue-white inflatable ring] to [yellow]'],True,"['cotton white tank top', 'cotton navy blue shorts']","['cotton white tank top', 'cotton navy blue shorts', 'rubber yellow inflatable ring']","['rubber blue-white inflatable ring', 'cotton white tank top', 'cotton navy blue shorts', 'rubber yellow inflatable ring']"
323,2,"['color_alter', 'background_change']","['Change the color of rubber blue-white inflatable ring to yellow', 'Change the background to beach, remain the cotton white tank top, cotton navy blue shorts, rubber yellow inflatable ring unchanged']","['Change the color of [rubber blue-white inflatable ring] to [yellow]', 'Change the background to [beach]']",False,"['cotton white tank top', 'cotton navy blue shorts']","['cotton white tank top', 'cotton navy blue shorts']","['rubber blue-white inflatable ring', 'cotton white tank top', 'cotton navy blue shorts', 'rubber yellow inflatable ring']"
323,3,"['color_alter', 'background_change', 'material_alter']","['Change the color of rubber blue-white inflatable ring to yellow', 'Change the background to beach, remain the cotton white tank top, cotton navy blue shorts, rubber yellow inflatable ring unchanged', 'Change the material of cotton navy blue shorts to rubber']","['Change the color of [rubber blue-white inflatable ring] to [yellow]', 'Change the background to [beach]', 'Change the material of [cotton navy blue shorts] to [rubber]']",False,['cotton white tank top'],"['cotton white tank top', 'rubber navy blue shorts']","['rubber blue-white inflatable ring', 'cotton white tank top', 'cotton navy blue shorts', 'rubber yellow inflatable ring', 'rubber navy blue shorts']"
324,1,['color_alter'],['Change the color of fabric black socks to blue'],['Change the color of [fabric black socks] to [blue]'],True,"['wool white sweater', 'leather black shorts', 'leather black boots', 'plush brown teddy bear']","['wool white sweater', 'leather black shorts', 'leather black boots', 'plush brown teddy bear', 'fabric blue socks']","['wool white sweater', 'leather black shorts', 'fabric black socks', 'leather black boots', 'plush brown teddy bear', 'fabric blue socks']"
324,2,"['color_alter', 'background_change']","['Change the color of fabric black socks to blue', 'Change the background to playground, remain the wool white sweater, leather black shorts, leather black boots, plush brown teddy bear, fabric blue socks unchanged']","['Change the color of [fabric black socks] to [blue]', 'Change the background to [playground]']",False,"['wool white sweater', 'leather black shorts', 'leather black boots', 'plush brown teddy bear']","['wool white sweater', 'leather black shorts', 'leather black boots', 'plush brown teddy bear']","['wool white sweater', 'leather black shorts', 'fabric black socks', 'leather black boots', 'plush brown teddy bear', 'fabric blue socks']"
324,3,"['color_alter', 'background_change', 'subject_add']","['Change the color of fabric black socks to blue', 'Change the background to playground, remain the wool white sweater, leather black shorts, leather black boots, plush brown teddy bear, fabric blue socks unchanged', 'Add rug on the below of leather black boots']","['Change the color of [fabric black socks] to [blue]', 'Change the background to [playground]', 'Add [rug] on the [below] of [leather black boots]']",False,"['wool white sweater', 'leather black shorts', 'leather black boots', 'plush brown teddy bear']","['wool white sweater', 'leather black shorts', 'leather black boots', 'plush brown teddy bear', 'rug']","['wool white sweater', 'leather black shorts', 'fabric black socks', 'leather black boots', 'plush brown teddy bear', 'fabric blue socks', 'rug']"
325,1,['text_change'],"[""Replace the text 'P' on cotton brown cap with 'CUTE'""]","[""Replace the text '[P]' on [cotton brown cap] with '[CUTE]'""]",True,"['cotton beige coat', 'cotton olive coat', 'knit gray leggings', 'cotton gray cap', 'fabric gray shoes', 'fabric beige shoes', 'wool white dog', 'fabric beige pet bed', 'woven multicolor rug', 'cotton white curtain']","['cotton beige coat', 'cotton olive coat', 'knit gray leggings', 'cotton gray cap', 'cotton brown cap', 'fabric gray shoes', 'fabric beige shoes', 'wool white dog', 'fabric beige pet bed', 'woven multicolor rug', 'cotton white curtain']","['cotton beige coat', 'cotton olive coat', 'knit gray leggings', 'cotton gray cap', 'cotton brown cap', 'fabric gray shoes', 'fabric beige shoes', 'wool white dog', 'fabric beige pet bed', 'woven multicolor rug', 'cotton white curtain']"
325,2,"['text_change', 'position_change']","[""Replace the text 'P' on cotton brown cap with 'CUTE'"", 'Change the position of wool white dog to below of cotton beige coat']","[""Replace the text '[P]' on [cotton brown cap] with '[CUTE]'"", 'Change the position of [wool white dog] to [below] of [cotton beige coat]']",True,"['cotton olive coat', 'knit gray leggings', 'cotton gray cap', 'fabric gray shoes', 'fabric beige shoes', 'fabric beige pet bed', 'woven multicolor rug', 'cotton white curtain']","['cotton beige coat', 'cotton olive coat', 'knit gray leggings', 'cotton gray cap', 'cotton brown cap', 'fabric gray shoes', 'fabric beige shoes', 'wool white dog', 'fabric beige pet bed', 'woven multicolor rug', 'cotton white curtain']","['cotton beige coat', 'cotton olive coat', 'knit gray leggings', 'cotton gray cap', 'cotton brown cap', 'fabric gray shoes', 'fabric beige shoes', 'wool white dog', 'fabric beige pet bed', 'woven multicolor rug', 'cotton white curtain']"
325,3,"['text_change', 'position_change', 'background_change']","[""Replace the text 'P' on cotton brown cap with 'CUTE'"", 'Change the position of wool white dog to below of cotton beige coat', 'Change the background to park, remain the cotton beige coat, cotton olive coat, knit gray leggings, cotton gray cap, cotton brown cap, fabric gray shoes, fabric beige shoes, wool white dog, fabric beige pet bed unchanged']","[""Replace the text '[P]' on [cotton brown cap] with '[CUTE]'"", 'Change the position of [wool white dog] to [below] of [cotton beige coat]', 'Change the background to [park]']",False,"['cotton olive coat', 'knit gray leggings', 'cotton gray cap', 'fabric gray shoes', 'fabric beige shoes', 'fabric beige pet bed']","['cotton beige coat', 'cotton olive coat', 'knit gray leggings', 'cotton gray cap', 'cotton brown cap', 'fabric gray shoes', 'fabric beige shoes', 'wool white dog', 'fabric beige pet bed']","['cotton beige coat', 'cotton olive coat', 'knit gray leggings', 'cotton gray cap', 'cotton brown cap', 'fabric gray shoes', 'fabric beige shoes', 'wool white dog', 'fabric beige pet bed', 'woven multicolor rug', 'cotton white curtain']"
326,1,['color_alter'],['Change the color of silk purple dress to blue'],['Change the color of [silk purple dress] to [blue]'],True,"['metal silver high heels', 'blue butterfly']","['metal silver high heels', 'blue butterfly', 'silk blue dress']","['silk purple dress', 'metal silver high heels', 'blue butterfly', 'silk blue dress']"
326,2,"['color_alter', 'subject_add']","['Change the color of silk purple dress to blue', 'Add butterfly on the right of silk blue dress']","['Change the color of [silk purple dress] to [blue]', 'Add [butterfly] on the [right] of [silk blue dress]']",True,"['metal silver high heels', 'blue butterfly']","['metal silver high heels', 'blue butterfly', 'silk blue dress', 'butterfly']","['silk purple dress', 'metal silver high heels', 'blue butterfly', 'silk blue dress', 'butterfly']"
326,3,"['color_alter', 'subject_add', 'background_change']","['Change the color of silk purple dress to blue', 'Add butterfly on the right of silk blue dress', 'Change the background to castle, remain the metal silver high heels, silk blue dress, butterfly unchanged']","['Change the color of [silk purple dress] to [blue]', 'Add [butterfly] on the [right] of [silk blue dress]', 'Change the background to [castle]']",False,['metal silver high heels'],['metal silver high heels'],"['silk purple dress', 'metal silver high heels', 'blue butterfly', 'silk blue dress', 'butterfly']"
327,1,['subject_add'],['Add bicycle on the right of cotton black shirt'],['Add [bicycle] on the [right] of [cotton black shirt]'],True,"['cotton black shirt', 'cotton gray pants', 'plastic blue and yellow bicycles', 'metal white fence', 'wooden green trees']","['cotton black shirt', 'cotton gray pants', 'plastic blue and yellow bicycles', 'metal white fence', 'wooden green trees', 'bicycle']","['cotton black shirt', 'cotton gray pants', 'plastic blue and yellow bicycles', 'metal white fence', 'wooden green trees', 'bicycle']"
327,2,"['subject_add', 'subject_remove']","['Add bicycle on the right of cotton black shirt', 'Remove metal white fence']","['Add [bicycle] on the [right] of [cotton black shirt]', 'Remove [metal white fence]']",True,"['cotton black shirt', 'cotton gray pants', 'plastic blue and yellow bicycles', 'wooden green trees']","['cotton black shirt', 'cotton gray pants', 'plastic blue and yellow bicycles', 'wooden green trees', 'bicycle']","['cotton black shirt', 'cotton gray pants', 'plastic blue and yellow bicycles', 'metal white fence', 'wooden green trees', 'bicycle']"
327,3,"['subject_add', 'subject_remove', 'color_alter']","['Add bicycle on the right of cotton black shirt', 'Remove metal white fence', 'Change the color of wooden green trees to brown']","['Add [bicycle] on the [right] of [cotton black shirt]', 'Remove [metal white fence]', 'Change the color of [wooden green trees] to [brown]']",True,"['cotton black shirt', 'cotton gray pants', 'plastic blue and yellow bicycles']","['cotton black shirt', 'cotton gray pants', 'plastic blue and yellow bicycles', 'bicycle', 'wooden brown trees']","['cotton black shirt', 'cotton gray pants', 'plastic blue and yellow bicycles', 'metal white fence', 'wooden green trees', 'bicycle', 'wooden brown trees']"
328,1,['color_alter'],['Change the color of polyester blue and gray jacket to green'],['Change the color of [polyester blue and gray jacket] to [green]'],True,[],['polyester green and gray jacket'],"['polyester blue and gray jacket', 'polyester green and gray jacket']"
328,2,"['color_alter', 'count_change']","['Change the color of polyester blue and gray jacket to green', 'Change the count of polyester green and gray jacket to 3.']","['Change the color of [polyester blue and gray jacket] to [green]', 'Change the count of [polyester green and gray jacket] to [3].']",True,[],['polyester green and gray jacket'],"['polyester blue and gray jacket', 'polyester green and gray jacket']"
328,3,"['color_alter', 'count_change', 'subject_add']","['Change the color of polyester blue and gray jacket to green', 'Change the count of polyester green and gray jacket to 3.', 'Add backpack on the left of polyester green and gray jacket']","['Change the color of [polyester blue and gray jacket] to [green]', 'Change the count of [polyester green and gray jacket] to [3].', 'Add [backpack] on the [left] of [polyester green and gray jacket]']",True,[],"['polyester green and gray jacket', 'backpack']","['polyester blue and gray jacket', 'polyester green and gray jacket', 'backpack']"
329,1,['background_change'],"['Change the background to bedroom, remain the cotton white t-shirt, cotton black shorts unchanged']",['Change the background to [bedroom]'],False,"['cotton white t-shirt', 'cotton black shorts']","['cotton white t-shirt', 'cotton black shorts']","['cotton white t-shirt', 'cotton black shorts', 'ceramic white toilet', 'marble wall']"
329,2,"['background_change', 'text_change']","['Change the background to bedroom, remain the cotton white t-shirt, cotton black shorts unchanged', ""Add text 'REFLECT' on the image""]","['Change the background to [bedroom]', ""Add text '[REFLECT]' on the image""]",False,"['cotton white t-shirt', 'cotton black shorts']","['cotton white t-shirt', 'cotton black shorts']","['cotton white t-shirt', 'cotton black shorts', 'ceramic white toilet', 'marble wall', 'text']"
329,3,"['background_change', 'text_change', 'position_change']","['Change the background to bedroom, remain the cotton white t-shirt, cotton black shorts unchanged', ""Add text 'REFLECT' on the image"", 'Change the position of cotton black shorts to below of cotton white t-shirt.']","['Change the background to [bedroom]', ""Add text '[REFLECT]' on the image"", 'Change the position of [cotton black shorts] to [below] of [cotton white t-shirt].']",False,[],"['cotton white t-shirt', 'cotton black shorts']","['cotton white t-shirt', 'cotton black shorts', 'ceramic white toilet', 'marble wall', 'text']"
330,1,['background_change'],"['Change the background to office, remain the cotton gray t-shirt, cotton green checkered shirt, plastic black chair, metal white desk, glass computer screen, plastic white laptop, paper white notebook unchanged']",['Change the background to [office]'],False,"['cotton gray t-shirt', 'cotton green checkered shirt', 'plastic black chair', 'metal white desk', 'glass computer screen', 'plastic white laptop', 'paper white notebook']","['cotton gray t-shirt', 'cotton green checkered shirt', 'plastic black chair', 'metal white desk', 'glass computer screen', 'plastic white laptop', 'paper white notebook']","['cotton gray t-shirt', 'cotton green checkered shirt', 'plastic black chair', 'metal white desk', 'glass computer screen', 'plastic white laptop', 'plastic red ceiling lamp', 'paper white notebook']"
330,2,"['background_change', 'color_alter']","['Change the background to office, remain the cotton gray t-shirt, cotton green checkered shirt, plastic black chair, metal white desk, glass computer screen, plastic white laptop, paper white notebook unchanged', 'Change the color of cotton green checkered shirt to blue']","['Change the background to [office]', 'Change the color of [cotton green checkered shirt] to [blue]']",False,"['cotton gray t-shirt', 'plastic black chair', 'metal white desk', 'glass computer screen', 'plastic white laptop', 'paper white notebook']","['cotton gray t-shirt', 'plastic black chair', 'metal white desk', 'glass computer screen', 'plastic white laptop', 'paper white notebook', 'cotton blue checkered shirt']","['cotton gray t-shirt', 'cotton green checkered shirt', 'plastic black chair', 'metal white desk', 'glass computer screen', 'plastic white laptop', 'plastic red ceiling lamp', 'paper white notebook', 'cotton blue checkered shirt']"
330,3,"['background_change', 'color_alter', 'subject_replace']","['Change the background to office, remain the cotton gray t-shirt, cotton green checkered shirt, plastic black chair, metal white desk, glass computer screen, plastic white laptop, paper white notebook unchanged', 'Change the color of cotton green checkered shirt to blue', 'Replace glass computer screen with whiteboard']","['Change the background to [office]', 'Change the color of [cotton green checkered shirt] to [blue]', 'Replace [glass computer screen] with [whiteboard]']",False,"['cotton gray t-shirt', 'plastic black chair', 'metal white desk', 'plastic white laptop', 'paper white notebook']","['cotton gray t-shirt', 'plastic black chair', 'metal white desk', 'plastic white laptop', 'paper white notebook', 'cotton blue checkered shirt', 'whiteboard']","['cotton gray t-shirt', 'cotton green checkered shirt', 'plastic black chair', 'metal white desk', 'glass computer screen', 'plastic white laptop', 'plastic red ceiling lamp', 'paper white notebook', 'cotton blue checkered shirt', 'whiteboard']"
331,1,['subject_add'],['Add belt on the above of cotton black skirt'],['Add [belt] on the [above] of [cotton black skirt]'],True,"['wool black sweater', 'cotton black skirt']","['wool black sweater', 'cotton black skirt', 'belt']","['wool black sweater', 'cotton black skirt', 'belt']"
331,2,"['subject_add', 'color_alter']","['Add belt on the above of cotton black skirt', 'Change the color of wool black sweater to brown']","['Add [belt] on the [above] of [cotton black skirt]', 'Change the color of [wool black sweater] to [brown]']",True,['cotton black skirt'],"['cotton black skirt', 'belt', 'wool brown sweater']","['wool black sweater', 'cotton black skirt', 'belt', 'wool brown sweater']"
331,3,"['subject_add', 'color_alter', 'count_change']","['Add belt on the above of cotton black skirt', 'Change the color of wool black sweater to brown', '""Change the count of cotton black skirt to 4""']","['Add [belt] on the [above] of [cotton black skirt]', 'Change the color of [wool black sweater] to [brown]', '""Change the count of [cotton black skirt] to [4]""']",True,[],"['cotton black skirt', 'belt', 'wool brown sweater']","['wool black sweater', 'cotton black skirt', 'belt', 'wool brown sweater']"
332,1,['subject_remove'],['Remove leather green chair'],['Remove [leather green chair]'],True,"['cotton white shirt', 'cotton blue dress', 'fabric white socks', 'leather green footrest', 'wooden beige footrest base', 'fabric white curtain', 'leather orange chair']","['cotton white shirt', 'cotton blue dress', 'fabric white socks', 'leather green footrest', 'wooden beige footrest base', 'fabric white curtain', 'leather orange chair']","['cotton white shirt', 'cotton blue dress', 'fabric white socks', 'leather green chair', 'leather green footrest', 'wooden beige footrest base', 'fabric white curtain', 'leather orange chair']"
332,2,"['subject_remove', 'text_change']","['Remove leather green chair', ""Add text 'RELAX' on the image""]","['Remove [leather green chair]', ""Add text '[RELAX]' on the image""]",True,"['cotton white shirt', 'cotton blue dress', 'fabric white socks', 'leather green footrest', 'wooden beige footrest base', 'fabric white curtain', 'leather orange chair']","['cotton white shirt', 'cotton blue dress', 'fabric white socks', 'leather green footrest', 'wooden beige footrest base', 'fabric white curtain', 'leather orange chair']","['cotton white shirt', 'cotton blue dress', 'fabric white socks', 'leather green chair', 'leather green footrest', 'wooden beige footrest base', 'fabric white curtain', 'leather orange chair', 'text']"
332,3,"['subject_remove', 'text_change', 'background_change']","['Remove leather green chair', ""Add text 'RELAX' on the image"", 'Change the background to living room, remain the cotton white shirt, cotton blue dress, fabric white socks, leather green footrest, wooden beige footrest base unchanged']","['Remove [leather green chair]', ""Add text '[RELAX]' on the image"", 'Change the background to [living room]']",False,"['cotton white shirt', 'cotton blue dress', 'fabric white socks', 'leather green footrest', 'wooden beige footrest base']","['cotton white shirt', 'cotton blue dress', 'fabric white socks', 'leather green footrest', 'wooden beige footrest base']","['cotton white shirt', 'cotton blue dress', 'fabric white socks', 'leather green chair', 'leather green footrest', 'wooden beige footrest base', 'fabric white curtain', 'leather orange chair', 'text']"
333,1,['count_change'],['Change the count of plastic blue clipboard to 3'],['Change the count of [plastic blue clipboard] to [3]'],True,"['cotton white coat', 'paper white notebook', 'plastic blue chair', 'metal and glass cabinet']","['cotton white coat', 'plastic blue clipboard', 'paper white notebook', 'plastic blue chair', 'metal and glass cabinet']","['cotton white coat', 'plastic blue clipboard', 'paper white notebook', 'plastic blue chair', 'metal and glass cabinet']"
333,2,"['count_change', 'background_change']","['Change the count of plastic blue clipboard to 3', 'Change the background to library, remain the cotton white coat, plastic blue clipboard, paper white notebook unchanged']","['Change the count of [plastic blue clipboard] to [3]', 'Change the background to [library]']",False,"['cotton white coat', 'paper white notebook']","['cotton white coat', 'plastic blue clipboard', 'paper white notebook']","['cotton white coat', 'plastic blue clipboard', 'paper white notebook', 'plastic blue chair', 'metal and glass cabinet']"
333,3,"['count_change', 'background_change', 'subject_remove']","['Change the count of plastic blue clipboard to 3', 'Change the background to library, remain the cotton white coat, plastic blue clipboard, paper white notebook unchanged', 'Remove plastic blue clipboard']","['Change the count of [plastic blue clipboard] to [3]', 'Change the background to [library]', 'Remove [plastic blue clipboard]']",False,"['cotton white coat', 'paper white notebook']","['cotton white coat', 'paper white notebook']","['cotton white coat', 'plastic blue clipboard', 'paper white notebook', 'plastic blue chair', 'metal and glass cabinet']"
334,1,['count_change'],"['""Change the count of metal white airplane to 3""']","['""Change the count of [metal white airplane] to [3]""']",True,[],['metal white airplane'],['metal white airplane']
334,2,"['count_change', 'color_alter']","['""Change the count of metal white airplane to 3""', 'Change the color of metal white airplane to blue']","['""Change the count of [metal white airplane] to [3]""', 'Change the color of [metal white airplane] to [blue]']",True,[],['metal blue airplane'],"['metal white airplane', 'metal blue airplane']"
334,3,"['count_change', 'color_alter', 'text_change']","['""Change the count of metal white airplane to 3""', 'Change the color of metal white airplane to blue', ""Add text 'FLY' on the image""]","['""Change the count of [metal white airplane] to [3]""', 'Change the color of [metal white airplane] to [blue]', ""Add text '[FLY]' on the image""]",True,[],['metal blue airplane'],"['metal white airplane', 'metal blue airplane', 'text']"
335,1,['color_alter'],['Change the color of cotton black blazer to blue'],['Change the color of [cotton black blazer] to [blue]'],True,"['cotton white shirt', 'plastic black tablet', 'metal silver laptop', 'plastic black pen', 'ceramic white cup', 'paper white notebook']","['cotton white shirt', 'plastic black tablet', 'metal silver laptop', 'plastic black pen', 'ceramic white cup', 'paper white notebook', 'cotton blue blazer']","['cotton black blazer', 'cotton white shirt', 'plastic black tablet', 'metal silver laptop', 'plastic black pen', 'ceramic white cup', 'paper white notebook', 'cotton blue blazer']"
335,2,"['color_alter', 'subject_replace']","['Change the color of cotton black blazer to blue', 'Replace paper white notebook with tablet']","['Change the color of [cotton black blazer] to [blue]', 'Replace [paper white notebook] with [tablet]']",True,"['cotton white shirt', 'plastic black tablet', 'metal silver laptop', 'plastic black pen', 'ceramic white cup']","['cotton white shirt', 'plastic black tablet', 'metal silver laptop', 'plastic black pen', 'ceramic white cup', 'cotton blue blazer', 'tablet']","['cotton black blazer', 'cotton white shirt', 'plastic black tablet', 'metal silver laptop', 'plastic black pen', 'ceramic white cup', 'paper white notebook', 'cotton blue blazer', 'tablet']"
335,3,"['color_alter', 'subject_replace', 'material_alter']","['Change the color of cotton black blazer to blue', 'Replace paper white notebook with tablet', 'Change the material of plastic black pen to metal']","['Change the color of [cotton black blazer] to [blue]', 'Replace [paper white notebook] with [tablet]', 'Change the material of [plastic black pen] to [metal]']",True,"['cotton white shirt', 'plastic black tablet', 'metal silver laptop', 'ceramic white cup']","['cotton white shirt', 'plastic black tablet', 'metal silver laptop', 'ceramic white cup', 'cotton blue blazer', 'tablet', 'metal black pen']","['cotton black blazer', 'cotton white shirt', 'plastic black tablet', 'metal silver laptop', 'plastic black pen', 'ceramic white cup', 'paper white notebook', 'cotton blue blazer', 'tablet', 'metal black pen']"
336,1,['count_change'],['Change the count of red hanging decoration to 3'],['Change the count of [red hanging decoration] to [3]'],True,['fabric red hanging decoration'],['fabric red hanging decoration'],['fabric red hanging decoration']
336,2,"['count_change', 'subject_remove']","['Change the count of red hanging decoration to 3', 'Remove fabric red hanging decoration']","['Change the count of [red hanging decoration] to [3]', 'Remove [fabric red hanging decoration]']",True,[],[],['fabric red hanging decoration']
